BasePay,OvertimePay,OtherPay,Stated_TotalPay
164352.66,0.00,0.00,164352.66
84898.02,0.00,0.00,84898.02
73918.03,0.00,0.00,73918.03
22900.50,61758.50,0.00,84659.00
1851.59,0.00,3591.45,5443.04
51461.59,0.00,0.00,51461.59
25195.43,92493.37,0.00,117688.80
8722.18,0.00,71157.82,79880.00
134256.71,0.00,0.00,134256.71
2451.70,5327.11,0.00,7778.81
137894.23,0.00,0.00,137894.23
42770.24,70848.52,0.00,113618.76
188592.02,0.00,0.00,188592.02
25495.57,0.00,90572.93,116068.50
94375.51,0.00,0.00,94375.51
32254.03,0.00,0.00,32254.03
31008.84,69585.17,0.00,100594.01
74801.84,0.00,0.00,74801.84
60417.44,0.00,0.00,60417.44
6258.54,0.00,14999.06,21257.60
73.34,0.00,640.69,714.03
20289.91,0.00,48510.47,68800.38
89379.55,0.00,0.00,89379.55
33696.55,78257.71,0.00,111954.26
31213.40,0.00,61016.09,92229.49
34236.65,164818.90,0.00,199055.55
18833.40,66444.33,0.00,85277.73
7426.80,0.00,0.00,7426.80
28739.48,0.00,49695.48,78434.96
110682.01,0.00,0.00,110682.01
79100.95,0.00,0.00,79100.95
10970.99,0.00,56899.80,67870.79
3851.24,0.00,22310.77,26162.01
331.25,0.00,986.33,1317.58
79640.61,0.00,0.00,79640.61
43228.35,78159.67,0.00,121388.02
1623.81,0.00,6392.19,8016.00
49922.27,0.00,0.00,49922.27
77638.06,0.00,0.00,77638.06
1247.08,0.00,0.00,1247.08
20757.26,97278.38,0.00,118035.64
855.85,0.00,6121.03,6976.88
29952.08,0.00,0.00,29952.08
11762.23,30534.77,0.00,42297.00
1417.86,0.00,3536.12,4953.98
22326.05,0.00,65231.88,87557.93
1232.56,4443.30,0.00,5675.86
17025.65,0.00,50035.35,67061.00
71585.50,0.00,0.00,71585.50
63326.02,0.00,0.00,63326.02
8925.58,0.00,38987.62,47913.20
18.16,0.00,62.21,80.37
12684.05,0.00,0.00,12684.05
2783.58,20865.42,0.00,23649.00
4567.46,0.00,8215.17,12782.63
3387.32,8679.06,0.00,12066.38
39805.69,60175.46,0.00,99981.15
24151.77,132583.94,0.00,156735.71
3891.23,17546.12,0.00,21437.35
9706.12,0.00,63562.45,73268.57
216.22,958.38,0.00,1174.60
136635.78,0.00,0.00,136635.78
4673.53,15341.49,0.00,20015.02
17581.75,0.00,83598.78,101180.53
20042.67,0.00,50533.30,70575.97
104361.20,0.00,0.00,104361.20
44636.07,0.00,102767.26,147403.33
15800.33,120030.51,0.00,135830.84
113673.53,0.00,0.00,113673.53
8079.83,16210.61,0.00,24290.44
44305.26,0.00,81584.28,125889.54
27939.54,0.00,75753.55,103693.09
36205.01,0.00,59192.37,95397.38
12711.98,0.00,34311.82,47023.80
36514.94,176782.49,0.00,213297.43
26560.19,0.00,62871.94,89432.13
338.22,766.98,0.00,1105.20
60998.25,0.00,0.00,60998.25
30439.53,75721.54,0.00,106161.07
225.03,0.00,735.72,960.75
8410.73,0.00,68457.16,76867.89
17017.47,0.00,34139.14,51156.61
9745.08,0.00,0.00,9745.08
7968.66,0.00,29651.81,37620.47
74825.68,0.00,0.00,74825.68
3101.39,0.00,0.00,3101.39
26345.02,98457.73,0.00,124802.75
13955.35,53416.80,0.00,67372.15
9507.94,52243.24,0.00,61751.18
32449.66,0.00,0.00,32449.66
10903.63,0.00,0.00,10903.63
8631.82,0.00,0.00,8631.82
50521.05,0.00,113464.04,163985.09
16855.95,30345.76,0.00,47201.71
5923.52,0.00,16894.35,22817.87
67305.17,0.00,0.00,67305.17
14471.74,99961.46,0.00,114433.20
1323.63,0.00,3679.71,5003.34
237672.70,0.00,0.00,237672.70
13257.30,0.00,39539.04,52796.34
21187.43,0.00,0.00,21187.43
42886.67,0.00,99411.37,142298.04
37.63,292.22,0.00,329.85
39345.52,0.00,0.00,39345.52
2723.41,0.00,0.00,2723.41
82974.09,0.00,0.00,82974.09
19795.05,58979.07,0.00,78774.12
4529.61,38172.76,0.00,42702.37
37438.95,117743.83,0.00,155182.78
7457.06,0.00,0.00,7457.06
7928.46,0.00,61289.13,69217.59
11739.51,33200.17,0.00,44939.68
66331.58,0.00,101567.40,167898.98
51054.74,0.00,123093.37,174148.11
181344.67,0.00,0.00,181344.67
147001.51,0.00,0.00,147001.51
84156.61,0.00,0.00,84156.61
19749.92,47214.74,0.00,66964.66
18471.30,104014.66,0.00,122485.96
18040.15,105490.29,0.00,123530.44
72806.05,0.00,0.00,72806.05
63467.24,0.00,0.00,63467.24
26545.17,0.00,176502.85,203048.02
4364.55,0.00,0.00,4364.55
44824.45,89487.26,0.00,134311.71
17348.44,0.00,77635.56,94984.00
337.54,0.00,972.69,1310.23
52409.21,90433.53,0.00,142842.74
62661.23,0.00,0.00,62661.23
18539.63,59689.51,0.00,78229.14
43416.05,0.00,0.00,43416.05
15349.37,0.00,23598.06,38947.43
23900.08,99101.35,0.00,123001.43
10289.57,52539.66,0.00,62829.23
17435.59,0.00,76690.67,94126.26
40443.44,0.00,98854.95,139298.39
3570.37,9498.05,0.00,13068.42
5084.02,21519.30,0.00,26603.32
40268.18,0.00,0.00,40268.18
58777.02,0.00,0.00,58777.02
32977.47,59557.68,0.00,92535.15
23608.40,0.00,0.00,23608.40
6475.79,0.00,0.00,6475.79
62567.98,120654.55,0.00,183222.53
6431.88,0.00,0.00,6431.88
3933.55,17438.87,0.00,21372.42
1804.84,0.00,0.00,1804.84
55582.09,0.00,101790.27,157372.36
638.29,2177.71,0.00,2816.00
30663.56,0.00,54488.05,85151.61
23705.48,60056.10,0.00,83761.58
43824.54,0.00,123198.66,167023.20
3976.22,0.00,0.00,3976.22
120.92,718.28,0.00,839.20
108561.00,0.00,0.00,108561.00
3045.81,0.00,7953.73,10999.54
10390.75,0.00,35660.75,46051.50
98271.03,0.00,0.00,98271.03
31219.20,60391.85,0.00,91611.05
42288.50,0.00,0.00,42288.50
1148.30,0.00,3718.79,4867.09
117545.19,0.00,0.00,117545.19
36960.07,107727.84,0.00,144687.91
